Splandit,"Elfen Lied: In the Passing Rain, or, How Can a Girl Have Reached Such Feelings?",8
Splandit,Evangelion: 1.0 You Are (Not) Alone,7
Splandit,Evangelion: 2.0 You Can (Not) Advance,6
Splandit,Evangelion: 3.0 You Can (Not) Redo,6
Splandit,Final Fantasy VII: Advent Children,7
Splandit,Final Fantasy: The Spirits Within,5
Splandit,Fruits Basket,9
Splandit,Fullmetal Alchemist,7
Splandit,Fullmetal Alchemist: Brotherhood,10
Splandit,Fullmetal Alchemist: The Movie - Conqueror of Shamballa,7
Splandit,Gravitation,8
Splandit,Gravitation: Lyrics of Love,8
Splandit,Higurashi: When They Cry,10
Splandit,Higurashi: When They Cry - Cat Killing Chapter,5
Splandit,Higurashi: When They Cry - Outbreak,6
Splandit,Higurashi: When They Cry – Kai,10
Splandit,Higurashi: When They Cry – Rei,7
Splandit,Himouto! Umaru-chan,6
Splandit,Kamigami no Asobi,4
Splandit,King of Thorn,6
Splandit,"Kiss Him, Not Me!",5
Splandit,Mardock Scramble: The First Compression,7
Splandit,Mardock Scramble: The Second Combustion,6
Splandit,Mardock Scramble: The Third Exhaust,6
Splandit,My Little Monster,8
Splandit,Mysterious Play,8
Splandit,Mysterious Play OVA,6
Splandit,Mysterious Play OVA 2,6
Splandit,Mysterious Play: Eikoden,6
Splandit,Nana,9
Splandit,Naruto Shippuden the Movie 5: Blood Prison,5
Splandit,Naruto Shippuden the Movie 6: Road to Ninja,7
Splandit,Neon Genesis Evangelion,8
Splandit,Neon Genesis Evangelion: The End of Evangelion,7
Splandit,Nisemonogatari,6
Splandit,Nyaruko: Crawling With Love!,5
Splandit,One Piece: Django's Dance Carnival,7
Splandit,One Piece: Dream Soccer King,7
Splandit,Ouran High School Host Club,10
Splandit,Peach Girl: Super Pop Love Hurricane,6
Splandit,Perfect Blue,10
Splandit,Please Teacher!,9
Splandit,Please Teacher!: Secret Couple,9
Splandit,Pretty Guardian Sailor Moon Crystal,8
Splandit,Pretty Guardian Sailor Moon Crystal Season III,9
Splandit,Princess Mononoke,5
Splandit,ReLIFE,6
Splandit,Romeo x Juliet,6
Splandit,Spirited Away,8
Splandit,Steins;Gate,7
Splandit,Step Up Love Story,5
Splandit,Summer Wars,10
Splandit,The Familiar of Zero,6
Splandit,The Familiar of Zero: Knight of the Twin Moons,5
Splandit,The Familiar of Zero: Rondo of Princesses,5
Splandit,The Girl Who Leapt Through Time,10
Splandit,Tokyo Magnitude 8.0,6
Splandit,Case Closed,9
Splandit,Deadman Wonderland,7
Splandit,Monogatari Series: Second Season,-
Splandit,Naruto Shippuden,6
Splandit,OreImo,-
Splandit,Samurai Champloo,5
Splandit,Detective School Q,6
Splandit,Kill la Kill,-
Splandit,La corda d'oro: primo passo,5
Splandit,Ranma ½,6
Splandit,Slayers,7
Splandit,Super GALS!,8
Splandit,The Melancholy of Haruhi Suzumiya,5
Splandit,Deadman Wonderland: The Red Knife Wielder,-
Splandit,Izetta: The Last Witch,-
Splandit,The Familiar of Zero F,-
Splandit,The Garden of Words,-
Obsid,Akame ga Kill!,8
Obsid,Arata: The Legend,7
Obsid,Blade & Soul,6
Obsid,Blade Dance of the Elementalers,6
Obsid,Bleach,6
Obsid,Blue Spring Ride,7
Obsid,Campione!,7
Obsid,Danganronpa: The Animation,5
Obsid,Dog Days'',6
Obsid,Dragon Ball Super,9
Obsid,Dragon Ball Z Kai,8
Obsid,Fairy Tail Series 2,8
Obsid,Gintama,7
Obsid,Gundam Reconguista in G,7
Obsid,Hunter x Hunter,6
Obsid,Kuroko's Basketball 2,8
Obsid,M3: Sono Kuroki Hagane,5
Obsid,My Hero Academia Season 2,9
Obsid,Naruto Shippuden,7
Obsid,Ninja Slayer From Animation,7
Obsid,One Piece,8
Obsid,Riddle Story of Devil,6
Obsid,Saekano: How to Raise a Boring Girlfriend,6
Obsid,The Heroic Legend of Arslan,7
Obsid,Tokyo ESP,7
Obsid,Unlimited Fafnir,6
Obsid,When Supernatural Battles Became Commonplace,6
Obsid,07-Ghost,6
Obsid,11eyes,7
Obsid,A Bridge to the Starry Skies,6
Obsid,Absolute Duo,6
Obsid,Accel World,7
Obsid,Aesthetica of a Rogue Hero,6
Obsid,After War Gundam X,7
Obsid,Ah My Buddha,6
Obsid,Ah My Buddha Katsu,6
Obsid,Akane Iro ni Somaru Saka,7
Obsid,Alderamin on the Sky,8
Obsid,Aldnoah.Zero,9
Obsid,Aldnoah.Zero,7
Obsid,Angel Beats!,6
Obsid,Argevollen,6
Obsid,Aria the Scarlet Ammo,6
Obsid,Attack on Titan,10
Obsid,Attack on Titan Season 2,10
Obsid,Banner of the Stars,6
Obsid,Banner of the Stars II,6
Obsid,Basilisk,7
Obsid,Beck: Mongolian Chop Squad,8
Obsid,Beelzebub,7
Obsid,Beyblade G Revolution,7
Obsid,Black Blood Brothers,7
Obsid,Black Cat,5
Obsid,Black Lagoon,9
Obsid,Black Lagoon: The Second Barrage,9
Obsid,Blade of the Immortal,2
Obsid,Blast of Tempest,7
Obsid,Bleach the Movie: Fade to Black,7
